,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
954,525.0,0.523,1004.0,109.0,0.345,316.0,409.0,29.0,89.0,464.0,634.0,0.48,1320.0,315.0,0.716,440.0,79.0,79.0,NBA,3014.0,175.0,238.0,1692.0,Dennis Rodman,SF,232.0,1994-95,271.0,639.0,CHI,0.522
955,413.0,0.507,815.0,150.0,0.374,401.0,452.0,30.0,57.0,344.0,563.0,0.46299999999999997,1216.0,220.0,0.679,324.0,77.0,77.0,NBA,2825.0,152.0,198.0,1496.0,Dennis Rodman,SF,133.0,1995-96,207.0,496.0,CHI,0.525
956,492.0,0.522,942.0,156.0,0.368,424.0,467.0,31.0,45.0,371.0,648.0,0.474,1366.0,204.0,0.701,291.0,82.0,82.0,NBA,3095.0,160.0,213.0,1656.0,Dennis Rodman,SF,154.0,1996-97,214.0,531.0,CHI,0.531
957,254.0,0.496,512.0,61.0,0.318,192.0,254.0,32.0,43.0,174.0,315.0,0.447,704.0,150.0,0.777,193.0,44.0,44.0,NBA,1652.0,53.0,116.0,841.0,Dennis Rodman,SF,79.0,1997-98,109.0,227.0,CHI,0.491
958,189.0,0.48200000000000004,392.0,72.0,0.34,212.0,293.0,33.0,37.0,260.0,261.0,0.43200000000000005,604.0,132.0,0.721,183.0,50.0,50.0,NBA,2011.0,63.0,118.0,726.0,Dennis Rodman,SF,98.0,1998-99,159.0,323.0,HOU,0.49200000000000005
959,302.0,0.506,597.0,86.0,0.327,263.0,406.0,34.0,41.0,399.0,388.0,0.451,860.0,160.0,0.7170000000000001,223.0,82.0,82.0,NBA,2749.0,114.0,208.0,1022.0,Dennis Rodman,SF,117.0,1999-00,208.0,513.0,POR,0.501
960,205.0,0.5,410.0,64.0,0.344,186.0,294.0,35.0,35.0,263.0,269.0,0.451,596.0,119.0,0.7390000000000001,161.0,64.0,60.0,NBA,2133.0,70.0,158.0,721.0,Dennis Rodman,SF,94.0,2000-01,154.0,333.0,POR,0.505
961,192.0,0.455,422.0,54.0,0.305,177.0,363.0,36.0,35.0,244.0,246.0,0.41100000000000003,599.0,113.0,0.774,146.0,62.0,60.0,NBA,1996.0,77.0,162.0,659.0,Dennis Rodman,SF,101.0,2001-02,171.0,321.0,POR,0.456
962,227.0,0.489,464.0,38.0,0.28600000000000003,133.0,285.0,37.0,25.0,221.0,265.0,0.444,597.0,121.0,0.818,148.0,64.0,58.0,NBA,1911.0,57.0,149.0,689.0,Dennis Rodman,SF,105.0,2002-03,164.0,278.0,POR,0.47600000000000003
963,40.0,0.435,92.0,13.0,0.271,48.0,50.0,38.0,9.0,48.0,53.0,0.379,140.0,17.0,0.63,27.0,23.0,6.0,NBA,412.0,20.0,38.0,136.0,Dennis Rodman,SF,21.0,2003-04,29.0,68.0,CHI,0.425
