,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
591,,,,,,,,,,,,,,,,,,,,,,,,Maurice Cheeks,,,,,,,
592,2356.0,0.473,4980.0,1051.0,0.406,2587.0,1861.0,,97.0,1669.0,3407.0,0.45,7567.0,1816.0,0.879,2065.0,494.0,490.0,NBA,17945.0,591.0,1264.0,9681.0,Maurice Cheeks,,618.0,7 seasons,1197.0,2260.0,MIL,0.52
593,1310.0,0.52,2521.0,798.0,0.409,1949.0,981.0,,78.0,964.0,2108.0,0.47200000000000003,4470.0,973.0,0.914,1064.0,358.0,354.0,NBA,12774.0,251.0,716.0,5987.0,Maurice Cheeks,,324.0,5 seasons,575.0,1215.0,BOS,0.561
594,1651.0,0.47600000000000003,3472.0,869.0,0.386,2252.0,1241.0,,46.0,1050.0,2520.0,0.44,5724.0,1364.0,0.899,1517.0,296.0,296.0,NBA,11654.0,325.0,634.0,7273.0,Maurice Cheeks,,388.0,5 seasons,750.0,1375.0,SEA,0.516
595,277.0,0.501,553.0,255.0,0.39799999999999996,641.0,278.0,,23.0,359.0,532.0,0.446,1194.0,245.0,0.894,274.0,152.0,9.0,NBA,3971.0,63.0,244.0,1564.0,Maurice Cheeks,,121.0,2 seasons,187.0,422.0,MIA,0.552
596,504.0,0.486,1037.0,4.0,0.14800000000000002,27.0,353.0,22.0,62.0,320.0,508.0,0.47700000000000004,1064.0,374.0,0.732,511.0,70.0,69.0,NBA,2678.0,125.0,203.0,1394.0,Jason Kidd,SF,124.0,1994-95,202.0,445.0,DET,0.479
597,559.0,0.46799999999999997,1195.0,5.0,0.192,26.0,548.0,23.0,48.0,656.0,564.0,0.462,1221.0,485.0,0.7509999999999999,646.0,80.0,80.0,NBA,3260.0,127.0,242.0,1618.0,Jason Kidd,SF,100.0,1995-96,263.0,783.0,DET,0.46399999999999997
598,615.0,0.502,1226.0,10.0,0.303,33.0,583.0,24.0,48.0,598.0,625.0,0.496,1259.0,450.0,0.711,633.0,80.0,80.0,NBA,3147.0,123.0,186.0,1710.0,Jason Kidd,SF,144.0,1996-97,259.0,721.0,DET,0.5
599,612.0,0.457,1340.0,3.0,0.14300000000000002,21.0,551.0,25.0,53.0,530.0,615.0,0.452,1361.0,479.0,0.74,647.0,81.0,81.0,NBA,3294.0,93.0,196.0,1712.0,Jason Kidd,SF,143.0,1997-98,285.0,623.0,DET,0.45299999999999996
600,384.0,0.48700000000000004,788.0,0.0,0.0,14.0,300.0,26.0,27.0,290.0,384.0,0.479,802.0,285.0,0.752,379.0,50.0,50.0,NBA,1852.0,65.0,114.0,1053.0,Jason Kidd,SF,80.0,1998-99,184.0,355.0,DET,0.479
601,662.0,0.5,1324.0,34.0,0.34700000000000003,98.0,385.0,27.0,43.0,393.0,696.0,0.489,1422.0,480.0,0.795,604.0,74.0,74.0,NBA,2776.0,97.0,190.0,1906.0,Jason Kidd,SF,103.0,1999-00,240.0,490.0,DET,0.501
602,18.0,0.429,42.0,1.0,1.0,1.0,25.0,28.0,2.0,17.0,19.0,0.442,43.0,16.0,0.615,26.0,4.0,4.0,NBA,133.0,8.0,9.0,55.0,Jason Kidd,SF,5.0,2000-01,11.0,25.0,ORL,0.45299999999999996
603,83.0,0.43,193.0,0.0,0.0,2.0,64.0,29.0,4.0,96.0,83.0,0.426,195.0,69.0,0.863,80.0,14.0,14.0,NBA,512.0,29.0,40.0,235.0,Jason Kidd,SF,8.0,2001-02,37.0,125.0,ORL,0.426
604,150.0,0.495,303.0,1.0,0.25,4.0,122.0,30.0,13.0,166.0,151.0,0.49200000000000005,307.0,118.0,0.8190000000000001,144.0,29.0,29.0,NBA,843.0,40.0,46.0,421.0,Jason Kidd,SF,28.0,2002-03,84.0,206.0,ORL,0.493
