,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
693,280,0.5,560,29,0.363,80,629,40,16,150,309,0.483,640,237,0.826,287,82,82,NBA,2275,51,184,884,Cynthia Cooper-Dyke,PG,137,2002-03,182,201,UTA,0.505
694,6194,0.541,11455,845,0.384,2203,15806,,315,3085,7039,0.515,13658,4788,0.826,5796,1504,1300,NBA,47764,966,3942,19711,Cynthia Cooper-Dyke,,3265,Career,4244,4051,,0.546
695,571,0.43,1329,,,,169,25,,,571,0.43,1329,210,0.658,319,78,,NBA,2847,,321,1352,Karl Malone,PF,,1963-64,,1064,BAL,0.43
696,577,0.418,1379,,,,270,26,,,577,0.418,1379,261,0.676,386,76,,NBA,2899,,258,1415,Karl Malone,SF,,1964-65,,988,BAL,0.418
697,273,0.413,661,,,,114,27,,,273,0.413,661,131,0.736,178,41,,NBA,1284,,136,677,Karl Malone,SF,,1965-66,,546,BAL,0.413
698,620,0.45,1377,,,,194,28,,,620,0.45,1377,271,0.708,383,73,,NBA,2626,,281,1511,Karl Malone,SF,,1966-67,,855,BAL,0.45
699,482,0.467,1033,,,,159,29,,,482,0.467,1033,180,0.667,270,60,,NBA,2271,,223,1144,Karl Malone,SF,,1967-68,,782,BAL,0.467
700,359,0.459,782,,,,97,30,,,359,0.459,782,160,0.717,223,49,,NBA,1671,,176,878,Karl Malone,PF,,1968-69,,568,BAL,0.459
701,578,0.451,1282,,,,264,31,,,578,0.451,1282,197,0.724,272,78,,NBA,2919,,269,1353,Karl Malone,PF,,1969-70,,1086,BAL,0.451
702,494,0.453,1090,,,,192,32,,,494,0.453,1090,214,0.738,290,66,,NBA,2538,,227,1202,Karl Malone,PF,,1970-71,,1128,BAL,0.453
703,103,0.383,269,,,,51,33,,,103,0.383,269,43,0.683,63,39,,NBA,668,,91,249,Karl Malone,PF,,1971-72,,226,BAL,0.383
704,197,0.429,459,4,0.19,21,93,34,,,201,0.419,480,56,0.718,78,71,,TOT,1170,85,168,462,Karl Malone,SF-PF,,1972-73,70,381,TOT,0.423
705,69,0.381,181,,,,31,34,,,69,0.381,181,25,0.694,36,21,,NBA,417,,55,163,Karl Malone,PF,,1972-73,,136,PHO,0.381
706,128,0.46,278,4,0.19,21,62,34,,160,132,0.441,299,31,0.738,42,50,,ABA,753,85,113,299,Karl Malone,SF,,1972-73,70,245,INA,0.448
707,4254,0.44,9661,4,0.19,21,1603,,,160,4258,0.44,9682,1723,0.7,2462,631,,TOT,20893,85,2150,10243,Karl Malone,,,Career,70,7624,,0.44
708,4126,0.44,9383,,,,1541,,,,4126,0.44,9383,1692,0.699,2420,581,,NBA,20140,,2037,9944,Karl Malone,,,,,7379,,0.44
709,128,0.46,278,4,0.19,21,62,,,160,132,0.441,299,31,0.738,42,50,,ABA,753,85,113,299,Karl Malone,,,,70,245,,0.448
710,,,,,,,,,,,,,,,,,,,,,,,,Karl Malone,,,,,,,
711,4057,0.441,9202,,,,1510,,,,4057,0.441,9202,1667,0.699,2384,560,,NBA,19723,,1982,9781,Karl Malone,,,9 seasons,,7243,BAL,0.441
712,128,0.46,278,4,0.19,21,62,,,160,132,0.441,299,31,0.738,42,50,,ABA,753,85,113,299,Karl Malone,,,1 season,70,245,INA,0.448
713,69,0.381,181,,,,31,,,,69,0.381,181,25,0.694,36,21,,NBA,417,,55,163,Karl Malone,,,1 season,,136,PHO,0.381
714,504,0.497,1014,0,0,2,236,22,44,544,504,0.496,1016,195,0.481,405,81,76,NBA,2475,174,295,1203,Ubiratan Pereira Maciel,PF,105,1985-86,279,718,UTA,0.496
715,728,0.514,1415,0,0,7,158,23,60,577,728,0.512,1422,323,0.598,540,82,82,NBA,2857,278,323,1779,Ubiratan Pereira Maciel,PF,104,1986-87,237,855,UTA,0.512
716,858,0.522,1645,0,0,5,199,24,50,709,858,0.52,1650,552,0.7,789,82,82,NBA,3198,277,296,2268,Ubiratan Pereira Maciel,PF,117,1987-88,325,986,UTA,0.52
717,804,0.521,1543,5,0.313,16,219,25,70,594,809,0.519,1559,703,0.766,918,80,80,NBA,3126,259,286,2326,Ubiratan Pereira Maciel,PF,144,1988-89,285,853,UTA,0.521
718,898,0.567,1584,16,0.372,43,226,26,50,679,914,0.562,1627,696,0.762,913,82,82,NBA,3122,232,259,2540,Ubiratan Pereira Maciel,PF,121,1989-90,304,911,UTA,0.567
719,843,0.529,1594,4,0.286,14,270,27,79,731,847,0.527,1608,684,0.77,888,82,82,NBA,3302,236,268,2382,Ubiratan Pereira Maciel,PF,89,1990-91,244,967,UTA,0.528
720,795,0.53,1499,3,0.176,17,241,28,51,684,798,0.526,1516,673,0.778,865,81,81,NBA,3054,225,226,2272,Ubiratan Pereira Maciel,PF,108,1991-92,248,909,UTA,0.527
721,793,0.557,1423,4,0.2,20,308,29,85,692,797,0.552,1443,619,0.74,836,82,82,NBA,3099,227,261,2217,Ubiratan Pereira Maciel,PF,124,1992-93,240,919,UTA,0.554
722,764,0.503,1520,8,0.25,32,328,30,126,705,772,0.497,1552,511,0.694,736,82,82,NBA,3329,235,268,2063,Ubiratan Pereira Maciel,PF,125,1993-94,234,940,UTA,0.5
723,819,0.543,1507,11,0.268,41,285,31,85,715,830,0.536,1548,516,0.742,695,82,82,NBA,3126,156,269,2187,Ubiratan Pereira Maciel,PF,129,1994-95,236,871,UTA,0.54
724,773,0.522,1480,16,0.4,40,345,32,56,629,789,0.519,1520,512,0.723,708,82,82,NBA,3113,175,245,2106,Ubiratan Pereira Maciel,PF,138,1995-96,199,804,UTA,0.524
